round,samples_analyzed,Accuracy,test_data_acc,test_data_loss,avg_prov_time_per_input,top_contributor,client_0_contribution,client_1_contribution,client_2_contribution,client_3_contribution,client_4_contribution,client_5_contribution,client_6_contribution,client_7_contribution,client_8_contribution,client_9_contribution
1,2,1.0,0.074,2.3413420617580414,0.05289566516876221,3,0.12421214580535889,0.12710696458816528,0.13800279796123505,0.14904622733592987,0.09653903543949127,0.10859449952840805,0.13480834662914276,0.12168998271226883,,
2,2,1.0,0.104,2.311182215809822,0.06440114974975586,1,0.12483695800497163,0.13376232189190576,0.12548876463190728,0.12793805372391923,,,0.12797319066384685,0.11946642276842116,0.12380292912289875,0.11673135919212933
3,2,1.0,0.074,2.3674419075250626,0.049413084983825684,0,0.15201277917613998,0.12470982875891157,0.12232924161606101,,0.11840332956311606,,0.12306576130490182,0.12855626546922128,0.1135681486608971,0.11735464545075114
