round,samples_analyzed,Accuracy,test_data_acc,test_data_loss,avg_prov_time_per_input,top_contributor,client_0_contribution,client_1_contribution,client_2_contribution,client_3_contribution,client_4_contribution,client_5_contribution,client_6_contribution,client_7_contribution,client_8_contribution
1,2,1.0,0.062,2.3009052723646164,0.08109605312347412,0,0.20670846670679152,0.200850984416113,0.20330566749100384,0.20117900366280955,0.1879558777232821,,,,
2,2,1.0,0.154,2.290605053305626,0.08893585205078125,7,0.2069044385495447,,0.2014200434935119,,,0.1796647938886162,0.19743062987510143,0.21458009419322574,
3,14,1.0,0.324,1.7113246321678162,0.03664599146161761,8,0.19739065334754727,0.20030898835668473,,,,,0.19227074942172184,0.19766611834827116,0.21236349052577497
