round,samples_analyzed,Accuracy,test_data_acc,test_data_loss,avg_prov_time_per_input,top_contributor,client_0_contribution,client_1_contribution,client_2_contribution,client_4_contribution,client_6_contribution,client_5_contribution,client_7_contribution,client_8_contribution,client_9_contribution
1,12,1.0,0.3232421875,2.593789216130972,0.022382696469624836,0,0.22351700286308515,0.20522249208890456,0.1956985333346985,0.19627484846317905,0.1792871232501327,,,,
2,16,1.0,0.31298828125,2.323337761685252,0.024989351630210876,9,,,,,0.23552301139273465,0.1913794826908604,0.033377985005344446,0.2583212379618389,0.2813982829492216
