round,samples_analyzed,Accuracy,test_data_acc,test_data_loss,avg_prov_time_per_input,top_contributor,client_0_contribution,client_5_contribution,client_6_contribution,client_7_contribution,client_8_contribution,client_9_contribution
1,18,1.0,0.556640625,1.508830901235342,0.026911377906799316,0,0.21612496053781896,0.19779193514146437,0.20346579024367176,0.19579494113241558,0.18682237294462933,
2,20,1.0,0.890625,0.4199887113645673,0.026015543937683107,7,,0.19350456850847958,0.18999397065313092,0.22564233023193775,0.18530838924658247,0.20555074135986928
