round,samples_analyzed,Accuracy,test_data_acc,test_data_loss,avg_prov_time_per_input,top_contributor,client_0_contribution,client_1_contribution,client_2_contribution,client_3_contribution,client_4_contribution,client_5_contribution,client_6_contribution,client_7_contribution
1,2,1.0,0.074,2.417630195617676,0.04262948036193848,3,0.24721035545476044,0.17833072079964518,0.19671528932985133,0.377743634415743,,,,
2,2,0.0,0.104,2.349762797355652,0.04588961601257324,2,,,0.27403013816520777,,0.24938634409586108,0.21316156108918133,0.2634219566497498,
3,4,1.0,0.088,2.4478390365839005,0.03260660171508789,6,,0.27536287903785706,,,0.19675425067543983,,0.2767217084765434,0.2511611618101597
