round,samples_analyzed,Accuracy,test_data_acc,test_data_loss,avg_prov_time_per_input,top_contributor,client_0_contribution,client_1_contribution,client_2_contribution,client_3_contribution,client_4_contribution,client_5_contribution,client_6_contribution,client_7_contribution
1,2,1.0,0.096,2.813949704170227,0.12430727481842041,1,0.21625039001459812,0.518453729651557,0.08392090441551753,0.10473346359058777,0.07664151232773955,,,
2,2,0.0,0.086,2.5517450273036957,0.12454009056091309,4,,,0.14379843324422836,0.12982534617185593,0.4030206799507141,0.13116513937711716,0.19219040125608444,
3,2,0.0,0.094,2.5110330879688263,0.11980783939361572,4,,,,0.14252985481217287,0.376460855848504,0.18278001521199963,0.1460875667048628,0.15214170742246072
