cpu name,cores,core clock,shss
Ryzen 5 8600G,6 / 12,4.3 to 5 GHz,0.016318238831581094
Ryzen 7 4800H,8 / 16,2.9 to 4.2 GHz,0.014049216084834079
Ryzen 9 9950X,16 / 32,4.3 to 5.7 GHz,0.0030620792407556833
Ryzen 5 5500GT,6 / 12,3.6 to 4.4 GHz,0.016318238831581094
Ryzen AI Max+ PRO 395,16 / 32,3 to 5.1 GHz,0.0030620792407556833
Ryzen 5 4500U,6,2.3 to 4 GHz,0.016318238831581094
A8-7600,4,3.1 to 3.8 GHz,0.0076772274489450044
Ryzen 7 7700X,8 / 16,4.5 to 5.4 GHz,0.014049216084834079
Ryzen 7 3800X,8 / 16,3.9 to 4.5 GHz,0.014049216084834079
Core Ultra 5 225,10,3.3 to 4.9 GHz,0.0005172463159832658
Ryzen 7 8700F,8 / 16,4.1 to 5 GHz,0.014049216084834079
Ryzen 3 3100,4 / 8,3.6 to 3.9 GHz,0.0076772274489450044
Ryzen 5 7535HS,6 / 12,3.3 to 4.55 GHz,0.016318238831581094
Athlon 3000G (FH),2 / 4,3.5 GHz,0.0012336201359738187
Core i7-7700,4 / 8,3.6 to 4.2 GHz,0.0010875435361699436
Ryzen 3 1200,4,3.1 to 3.4 GHz,0.005164163572214725
