Client_Id;Validation loss;Validation Accuracy;Validation Precision;Validation Recall;Validation F1 score;Number of Val Examples(Btach);Training stop round;Number of Training Examples
0;2.1351;35.48;0.1718;0.2192;0.18;279;;111808
1;1.9172;44.4;0.239;0.2267;0.21;277;;111152
2;1.7325;56.62;0.2668;0.2635;0.23;355;;142601
3;1.4775;61.78;0.2301;0.2914;0.23;416;;166890
4;2.1387;45.6;0.1092;0.2009;0.14;318;;127685
5;2.2818;32.71;0.151;0.1701;0.12;214;;86049
6;1.9381;38.8;0.1678;0.2421;0.19;250;;100161
7;1.7521;45.26;0.2242;0.2066;0.18;285;;114141
8;2.0921;42.97;0.2708;0.2897;0.24;249;;99817
9;2.4966;33.33;0.2022;0.2404;0.18;216;;86656
10;1.8723;47.46;0.2964;0.4517;0.32;295;;118300
11;2.1143;38.74;0.2639;0.2745;0.23;222;;88895
12;1.909;51.84;0.2896;0.2677;0.22;326;;130823
13;1.3389;63.22;0.138;0.2081;0.16;397;;159150
14;1.6981;54.23;0.3472;0.2983;0.25;319;;128066
15;1.9771;51.15;0.2732;0.3485;0.28;260;;104136
16;1.6662;60.0;0.2343;0.3285;0.26;350;;140418
17;1.8522;56.49;0.3121;0.3442;0.29;308;;123667
18;1.9223;38.57;0.1897;0.2315;0.18;223;;89654
19;1.6154;57.31;0.2324;0.2824;0.22;335;;134223
20;1.9053;46.01;0.1571;0.2087;0.17;263;;105299
21;1.9496;50.0;0.3649;0.3672;0.35;210;;84375
22;2.294;32.11;0.2466;0.2668;0.21;190;;76337
23;1.8055;53.33;0.3294;0.3242;0.29;255;;102259
