Client_Id;Validation loss;Validation Accuracy;Validation Precision;Validation Recall;Validation F1 score;Number of Val Examples(Btach);Training stop round;Number of Training Examples
0;2.2532;34.05;0.1249;0.189;0.14;279;;111808
1;2.0084;40.79;0.1452;0.1569;0.13;277;;111152
2;1.8212;54.37;0.1608;0.2255;0.19;355;;142601
3;1.5481;59.38;0.1761;0.2307;0.18;416;;166890
4;2.1754;48.11;0.1317;0.2162;0.16;318;;127685
5;2.3617;33.64;0.0945;0.1679;0.11;214;;86049
6;2.0486;34.4;0.1652;0.1846;0.14;250;;100161
7;1.8483;47.72;0.1535;0.1884;0.14;285;;114141
8;2.1934;41.37;0.1802;0.2539;0.19;249;;99817
9;2.5559;28.7;0.0985;0.1871;0.12;216;;86656
10;1.8907;42.37;0.2066;0.2899;0.2;295;;118300
11;2.2276;39.19;0.2377;0.2604;0.23;222;;88895
12;1.9902;47.55;0.1463;0.1802;0.14;326;;130823
13;1.398;65.99;0.1691;0.241;0.19;397;;159150
14;1.7721;56.43;0.2349;0.2591;0.21;319;;128066
15;2.0876;47.31;0.1785;0.2841;0.21;260;;104136
16;1.7464;58.29;0.2255;0.267;0.22;350;;140418
17;1.9338;54.55;0.2095;0.2874;0.23;308;;123667
18;2.027;37.67;0.2046;0.1936;0.15;223;;89654
19;1.6911;56.12;0.1306;0.2194;0.16;335;;134223
20;1.9846;47.53;0.1544;0.2161;0.17;263;;105299
21;2.0922;38.57;0.1802;0.2225;0.18;210;;84375
22;2.4337;26.32;0.1165;0.1967;0.14;190;;76337
23;1.9096;50.59;0.2227;0.2731;0.23;255;;102259
