Client_Id;Validation loss;Validation Accuracy;Validation Precision;Validation Recall;Validation F1 score;Number of Val Examples(Btach);Training stop round;Number of Training Examples
0;2.3648;33.69;0.1153;0.1762;0.13;279;;111808
1;2.0952;40.43;0.1399;0.1469;0.12;277;;111152
2;1.9203;51.27;0.1395;0.1933;0.15;355;;142601
3;1.6233;59.13;0.1141;0.1833;0.14;416;;166890
4;2.2059;46.86;0.1204;0.1687;0.12;318;;127685
5;2.4464;32.71;0.0827;0.1241;0.09;214;;86049
6;2.1578;34.0;0.075;0.1532;0.1;250;;100161
7;1.9479;45.26;0.0723;0.1421;0.09;285;;114141
8;2.2946;40.56;0.1831;0.2368;0.18;249;;99817
9;2.6106;25.0;0.0481;0.1409;0.07;216;;86656
10;1.9266;42.03;0.0948;0.2401;0.12;295;;118300
11;2.3506;35.14;0.1214;0.1926;0.14;222;;88895
12;2.0632;49.08;0.1096;0.168;0.13;326;;130823
13;1.4626;65.49;0.1875;0.2293;0.2;397;;159150
14;1.841;57.68;0.276;0.248;0.21;319;;128066
15;2.198;45.77;0.1621;0.2472;0.19;260;;104136
16;1.829;58.0;0.171;0.2156;0.17;350;;140418
17;2.0086;50.0;0.1282;0.1946;0.15;308;;123667
18;2.1336;37.22;0.1018;0.1776;0.13;223;;89654
19;1.7692;54.93;0.1384;0.1756;0.14;335;;134223
20;2.0646;46.39;0.1384;0.1903;0.15;263;;105299
21;2.2358;35.71;0.1604;0.1796;0.15;210;;84375
22;2.581;22.63;0.0813;0.152;0.09;190;;76337
23;2.0178;45.1;0.175;0.1758;0.15;255;;102259
