Client_Id;Validation loss;Validation Accuracy;Validation Precision;Validation Recall;Validation F1 score;Number of Val Examples(Btach);Training stop round;Number of Training Examples
0;2.5899;29.39;0.0895;0.1362;0.1;279;;111808
1;2.2733;38.99;0.0609;0.1142;0.08;277;;111152
2;2.0731;49.86;0.085;0.1454;0.1;355;;142601
3;1.8389;58.89;0.1214;0.1386;0.1;416;;166890
4;2.2918;46.23;0.0435;0.0899;0.06;318;;127685
5;2.6019;29.44;0.026;0.0724;0.04;214;;86049
6;2.3889;34.4;0.0799;0.1451;0.1;250;;100161
7;2.1612;42.81;0.0451;0.1058;0.06;285;;114141
8;2.4998;33.73;0.0698;0.1409;0.09;249;;99817
9;2.7427;25.93;0.0652;0.1435;0.09;216;;86656
10;2.0545;42.37;0.067;0.1679;0.08;295;;118300
11;2.602;31.08;0.0617;0.1409;0.08;222;;88895
12;2.248;50.0;0.0625;0.112;0.08;326;;130823
13;1.6316;62.97;0.1439;0.1704;0.14;397;;159150
14;2.0485;52.98;0.1343;0.1532;0.12;319;;128066
15;2.4044;38.85;0.0635;0.152;0.09;260;;104136
16;2.0209;56.0;0.0757;0.1462;0.1;350;;140418
17;2.1858;49.03;0.0702;0.1473;0.09;308;;123667
18;2.3504;34.53;0.0811;0.1505;0.1;223;;89654
19;1.9646;52.24;0.0586;0.1105;0.07;335;;134223
20;2.2394;41.83;0.0562;0.106;0.07;263;;105299
21;2.4838;32.38;0.0878;0.1287;0.1;210;;84375
22;2.8309;18.95;0.0656;0.1129;0.07;190;;76337
23;2.2761;43.14;0.0752;0.1408;0.1;255;;102259
