;NULL;jogging;jogging (rotating arms);jogging (skipping);jogging (sidesteps);jogging (butt-kicks);stretching (triceps);stretching (lunging);stretching (shoulders);stretching (hamstrings);stretching (lumbar rotation);push-ups;push-ups (complex);sit-ups;sit-ups (complex);burpees;lunges;lunges (complex);bench-dips
Client_Id_0;0.41;0.72;0.0;0.52;0.72;0.58;0.0;0.0;0.0;0.14;0.0;0.36;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Client_Id_1;0.6;0.67;0.0;0.38;0.6;0.5;0.0;0.0;0.0;0.5;0.29;0.47;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Client_Id_2;0.7;0.81;;0.0;0.69;0.61;0.15;0.0;0.0;0.0;0.0;0.76;0.0;0.43;0.0;0.0;0.0;0.0;0.0
Client_Id_3;0.77;0.69;0.0;0.71;0.75;0.4;0.0;0.0;0.52;0.18;0.0;0.39;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Client_Id_4;0.62;0.44;0.0;0.43;0.44;0.13;0.0;0.0;0.0;0.0;0.0;0.53;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Client_Id_5;0.48;0.0;0.0;0.2;0.7;0.19;0.17;0.0;0.0;0.0;0.0;0.48;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Client_Id_6;0.49;0.81;0.0;0.43;0.53;0.58;0.0;0.0;0.0;0.0;0.0;0.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Client_Id_7;0.62;0.84;0.0;0.0;0.64;0.45;0.0;0.0;0.0;0.5;0.2;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Client_Id_8;0.52;0.78;0.0;0.4;0.67;0.67;0.22;0.0;0.0;0.75;0.0;0.57;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Client_Id_9;0.42;0.58;0.0;0.67;0.06;0.69;0.89;0.0;0.0;0.0;0.0;0.0;0.0;0.18;0.0;0.0;0.0;0.0;0.0
Client_Id_10;0.58;0.75;0.0;0.94;0.28;0.26;0.0;0.0;;;;0.46;0.0;0.94;0.0;0.0;;;
Client_Id_11;0.45;0.75;0.18;0.6;0.71;0.7;0.0;0.0;0.0;0.95;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Client_Id_12;0.7;0.17;0.0;0.6;0.64;0.5;0.2;0.0;0.0;0.8;0.0;0.24;0.0;0.33;0.0;0.0;0.0;0.0;0.0
Client_Id_13;0.81;0.1;0.0;0.0;0.8;0.4;0.0;0.0;0.0;0.95;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Client_Id_14;0.69;0.78;0.0;0.36;0.67;0.57;0.0;0.0;0.0;0.75;0.2;0.52;0.0;0.18;0.0;0.0;0.0;0.0;0.0
Client_Id_15;0.65;0.86;0.0;0.86;0.71;0.62;0.0;0.0;0.0;0.95;0.0;0.38;0.0;0.33;0.0;0.0;0.0;0.0;0.0
Client_Id_16;0.73;0.84;0.0;0.89;0.64;0.59;0.0;0.0;0.0;0.9;0.0;0.41;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Client_Id_17;0.71;0.86;0.0;0.0;0.63;0.45;0.82;0.0;0.0;0.9;0.18;0.67;0.0;0.32;0.0;0.0;0.0;0.0;0.0
Client_Id_18;0.51;0.86;0.0;0.0;0.58;0.48;0.0;0.0;0.0;0.13;0.0;0.56;0.0;0.33;0.0;0.0;0.0;0.0;0.0
Client_Id_19;0.73;0.84;0.0;0.0;0.53;0.5;0.0;0.0;0.0;0.78;0.18;0.57;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Client_Id_20;0.65;0.8;0.0;0.0;0.52;0.08;0.0;0.0;0.0;0.89;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Client_Id_21;0.53;0.8;0.0;0.67;0.88;0.8;0.88;0.0;0.0;0.75;0.77;0.67;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Client_Id_22;0.29;0.83;0.2;0.0;0.67;0.75;0.46;0.0;0.0;0.0;0.0;0.76;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Client_Id_23;0.64;0.91;0.0;0.92;0.82;0.61;0.0;0.0;0.0;0.0;0.22;0.84;0.0;0.62;0.0;0.0;0.0;0.0;0.0
