Client_Id;Validation loss;Validation Accuracy;Validation Precision;Validation Recall;Validation F1 score;Number of Val Examples(Btach);Training stop round;Number of Training Examples
0;2.4843;31.9;0.123;0.1574;0.12;279;;111808
1;2.1863;39.35;0.0835;0.1265;0.09;277;;111152
2;2.0078;49.3;0.0932;0.1447;0.11;355;;142601
3;1.7239;59.86;0.1132;0.1678;0.13;416;;166890
4;2.2522;45.91;0.0837;0.1225;0.08;318;;127685
5;2.5302;33.64;0.0813;0.1316;0.09;214;;86049
6;2.2758;33.2;0.058;0.1293;0.08;250;;100161
7;2.0557;45.26;0.0863;0.1421;0.1;285;;114141
8;2.4052;34.94;0.0956;0.1573;0.11;249;;99817
9;2.6792;25.46;0.0544;0.1422;0.08;216;;86656
10;1.993;43.05;0.0882;0.2123;0.11;295;;118300
11;2.4833;34.68;0.119;0.1803;0.13;222;;88895
12;2.1581;51.84;0.1124;0.1651;0.13;326;;130823
13;1.5439;65.24;0.1898;0.224;0.2;397;;159150
14;1.9395;54.86;0.187;0.1968;0.16;319;;128066
15;2.3093;39.23;0.0738;0.1568;0.1;260;;104136
16;1.9324;56.86;0.1227;0.1749;0.14;350;;140418
17;2.092;46.43;0.0603;0.1223;0.08;308;;123667
18;2.2451;35.87;0.0962;0.1618;0.11;223;;89654
19;1.8686;51.94;0.0671;0.1102;0.07;335;;134223
20;2.1422;42.59;0.11;0.1184;0.08;263;;105299
21;2.367;32.38;0.0993;0.1357;0.1;210;;84375
22;2.7194;21.58;0.0676;0.1404;0.08;190;;76337
23;2.1334;41.96;0.101;0.1171;0.07;255;;102259
