Client_Id;Validation loss;Validation Accuracy;Validation Precision;Validation Recall;Validation F1 score;Number of Val Examples(Btach);Training stop round;Number of Training Examples
0;2.7089;23.3;0.047;0.0789;0.05;279;;111808
1;2.3756;36.46;0.0304;0.0789;0.04;277;;111152
2;2.0951;48.45;0.0957;0.0999;0.09;355;;142601
3;1.9349;57.69;0.0957;0.107;0.08;416;;166890
4;2.3075;47.8;0.0542;0.098;0.06;318;;127685
5;2.6568;28.97;0.026;0.0658;0.04;214;;86049
6;2.5221;32.8;0.1052;0.1271;0.1;250;;100161
7;2.2698;42.11;0.039;0.0947;0.06;285;;114141
8;2.597;31.73;0.0944;0.1129;0.09;249;;99817
9;2.8412;23.15;0.0858;0.1;0.06;216;;86656
10;2.0533;45.42;0.129;0.1717;0.13;295;;118300
11;2.6994;31.08;0.0886;0.1409;0.1;222;;88895
12;2.324;50.61;0.0895;0.1225;0.1;326;;130823
13;1.7107;60.2;0.0465;0.1005;0.06;397;;159150
14;2.1354;51.41;0.0966;0.114;0.09;319;;128066
15;2.4691;38.46;0.0777;0.1462;0.1;260;;104136
16;2.1044;54.86;0.0966;0.1284;0.1;350;;140418
17;2.2229;46.43;0.0458;0.1005;0.06;308;;123667
18;2.4788;33.18;0.115;0.1257;0.11;223;;89654
19;2.0425;51.04;0.0377;0.076;0.05;335;;134223
20;2.2822;42.21;0.1104;0.1118;0.09;263;;105299
21;2.5989;28.57;0.0882;0.0819;0.06;210;;84375
22;2.9609;13.16;0.0075;0.0526;0.01;190;;76337
23;2.3833;40.39;0.0386;0.0947;0.05;255;;102259
