num_malicious,attack_fn,dataset_name,round,auc,accuracy,loss
0,<function gaussian_attack at 0x192bb7280>,income,0,0.5,0.7537878787878788,0.6931471805599453
0,<function gaussian_attack at 0x192bb7280>,income,1,0.7682958253649548,0.803951678951679,0.4787399634104676
0,<function gaussian_attack at 0x192bb7280>,income,2,0.7149667537552911,0.7924856674856675,0.4952054849511216
0,<function gaussian_attack at 0x192bb7280>,income,3,0.7273287830397704,0.7923832923832924,0.49135620563109755
0,<function gaussian_attack at 0x192bb7280>,income,4,0.6933388637856926,0.7938165438165438,0.5047763930596353
0,<function gaussian_attack at 0x192bb7280>,income,5,0.776831169388551,0.797911547911548,0.5087659662248236
0,<function gaussian_attack at 0x192bb7280>,income,6,0.7691155106882392,0.8002661752661753,0.47548193796966715
0,<function gaussian_attack at 0x192bb7280>,income,7,0.7056205339785403,0.7949426699426699,0.4943786889787897
0,<function gaussian_attack at 0x192bb7280>,income,8,0.775710208061152,0.7940212940212941,0.5113499511870436
0,<function gaussian_attack at 0x192bb7280>,income,9,0.7887314303720661,0.7984234234234234,0.5187940347646439
0,<function gaussian_attack at 0x192bb7280>,income,10,0.6892576610083061,0.7973996723996724,0.4979300082893692
0,<function gaussian_attack at 0x192bb7280>,income,11,0.6675833513807167,0.7885954135954136,0.51525768792114
0,<function gaussian_attack at 0x192bb7280>,income,12,0.7099501553392631,0.7876740376740377,0.5009544429076047
0,<function gaussian_attack at 0x192bb7280>,income,13,0.7414395684665955,0.8033374283374284,0.4875346925989976
0,<function gaussian_attack at 0x192bb7280>,income,14,0.7154191477700917,0.7961711711711712,0.4901563999160312
0,<function gaussian_attack at 0x192bb7280>,income,15,0.7100564913684566,0.795045045045045,0.49407654382219934
0,<function gaussian_attack at 0x192bb7280>,income,16,0.7866248136790036,0.8031326781326781,0.48300187318554183
0,<function gaussian_attack at 0x192bb7280>,income,17,0.7498479078541553,0.7949426699426699,0.4988635375789862
0,<function gaussian_attack at 0x192bb7280>,income,18,0.7614570012505637,0.786036036036036,0.47392435675366573
0,<function gaussian_attack at 0x192bb7280>,income,19,0.7620098582478049,0.7986281736281736,0.47128700906395954
0,<function gaussian_attack at 0x192bb7280>,income,20,0.723523500516574,0.7997542997542998,0.4965616414315031
0,<function gaussian_attack at 0x192bb7280>,income,21,0.782618435776116,0.8001638001638002,0.4677292899212146
0,<function gaussian_attack at 0x192bb7280>,income,22,0.6868611191034116,0.7947379197379197,0.5051612069295462
0,<function gaussian_attack at 0x192bb7280>,income,23,0.64999916704385,0.7949426699426699,0.5139393375844936
0,<function gaussian_attack at 0x192bb7280>,income,24,0.6790692237385161,0.7985257985257985,0.5072060104938321
0,<function gaussian_attack at 0x192bb7280>,income,25,0.7155039681183917,0.7864455364455365,0.4994809807837995
0,<function gaussian_attack at 0x192bb7280>,income,26,0.7239153005009313,0.7913595413595413,0.4918827315010413
0,<function gaussian_attack at 0x192bb7280>,income,27,0.769815137382705,0.7935094185094185,0.4770785832696033
0,<function gaussian_attack at 0x192bb7280>,income,28,0.7351656298009687,0.7881859131859131,0.48352208305201844
0,<function gaussian_attack at 0x192bb7280>,income,29,0.758751672618303,0.7973996723996724,0.48429655439498726
0,<function gaussian_attack at 0x192bb7280>,income,30,0.7551959945821144,0.7932022932022932,0.4897385677612501
0,<function gaussian_attack at 0x192bb7280>,income,31,0.6819895962365066,0.791052416052416,0.5037393213689453
0,<function gaussian_attack at 0x192bb7280>,income,32,0.8022485863039985,0.8028255528255528,0.4679362850906022
0,<function gaussian_attack at 0x192bb7280>,income,33,0.6519271640553727,0.7958640458640459,0.5098303931869258
0,<function gaussian_attack at 0x192bb7280>,income,34,0.6828158887373882,0.7952497952497952,0.5019645865579068
0,<function gaussian_attack at 0x192bb7280>,income,35,0.7679695889121394,0.8000614250614251,0.4809948902813821
0,<function gaussian_attack at 0x192bb7280>,income,36,0.7106094613089045,0.793918918918919,0.49738019114160104
0,<function gaussian_attack at 0x192bb7280>,income,37,0.7616849206418674,0.7867526617526618,0.47685954442367984
0,<function gaussian_attack at 0x192bb7280>,income,38,0.6831248448795644,0.7914619164619164,0.501147467951526
0,<function gaussian_attack at 0x192bb7280>,income,39,0.7588087654093358,0.7949426699426699,0.4833101604220633
0,<function gaussian_attack at 0x192bb7280>,income,40,0.7404669580413163,0.7923832923832924,0.4879878035832118
0,<function gaussian_attack at 0x192bb7280>,income,41,0.7045520347706956,0.7913595413595413,0.5018550585157994
0,<function gaussian_attack at 0x192bb7280>,income,42,0.7554837738730174,0.7911547911547911,0.4788382491505332
0,<function gaussian_attack at 0x192bb7280>,income,43,0.7324910781925587,0.7946355446355446,0.487515275092397
0,<function gaussian_attack at 0x192bb7280>,income,44,0.6953427586321788,0.7793816543816544,0.5178532620645224
0,<function gaussian_attack at 0x192bb7280>,income,45,0.7665791450933377,0.7986281736281736,0.47387169103803584
0,<function gaussian_attack at 0x192bb7280>,income,46,0.7141850738210918,0.7914619164619164,0.49492214132370704
0,<function gaussian_attack at 0x192bb7280>,income,47,0.7397464933251976,0.7977067977067978,0.4906833751155796
0,<function gaussian_attack at 0x192bb7280>,income,48,0.7756169169723427,0.7964782964782965,0.5181951579794063
0,<function gaussian_attack at 0x192bb7280>,income,49,0.6943868638015046,0.7955569205569205,0.5008052271644792
0,<function gaussian_attack at 0x192bb7280>,income,50,0.785517631422833,0.789004914004914,0.47491657567856965
1,<function gaussian_attack at 0x192bb7280>,income,0,0.5,0.7537878787878788,0.6931471805599453
