round,samples_analyzed,Accuracy,test_data_acc,test_data_loss,avg_prov_time_per_input,top_contributor,client_0_contribution,client_2_contribution,client_8_contribution,client_9_contribution,client_4_contribution,client_6_contribution
1,20,1.0,0.47509765625,1.6215955093502998,0.0657234787940979,9,0.2804000352839665,0.16777640147021347,0.2674129802038939,0.28441058304192607,,
2,18,1.0,0.69482421875,0.8824489177204669,0.0653008222579956,9,,,0.2457302684543051,0.2856063682384466,0.24143502656056687,0.22722833674668144
