encryption_enabled,loss,accuracy,timestamp
True,2.1047861576080322,0.1776,2025-08-22 09:10:55
True,2.0759289925265465,0.2212,2025-08-22 09:10:55
True,2.2469796663636616,0.1216,2025-08-22 09:10:57
True,2.2588323225640945,0.119,2025-08-22 09:10:57
True,2.014799686753826,0.231,2025-08-22 09:24:44
True,2.129847793062781,0.2014,2025-08-22 09:24:44
True,2.2110004379491137,0.1664,2025-08-22 09:24:45
True,2.2053438265612173,0.1792,2025-08-22 09:24:45
True,2.0001501285346452,0.2256,2025-08-22 09:24:52
True,2.019158341322735,0.213,2025-08-22 09:24:52
True,1.9997994755483737,0.2442,2025-08-22 09:24:53
True,1.9934065615295604,0.2526,2025-08-22 09:24:53
True,2.0865139391771548,0.2138,2025-08-22 09:24:59
True,2.021739129807539,0.2282,2025-08-22 09:24:59
True,2.0368427562106186,0.1934,2025-08-22 09:25:01
True,2.038573224073762,0.202,2025-08-22 09:25:01
True,2.0993565525978233,0.2118,2025-08-22 09:26:26
True,2.086978965504154,0.1974,2025-08-22 09:26:27
True,2.223693120251795,0.119,2025-08-22 09:26:28
True,2.2233404323553585,0.1152,2025-08-22 09:26:28
True,2.0835657674036208,0.2148,2025-08-22 09:26:35
True,2.221278963574938,0.1242,2025-08-22 09:26:35
True,2.1721655062049816,0.171,2025-08-22 09:26:37
True,2.154954784994672,0.1758,2025-08-22 09:26:37
True,2.1439999934214695,0.2176,2025-08-22 09:26:45
True,2.0912852864356557,0.1754,2025-08-22 09:26:45
True,2.080182982098525,0.2036,2025-08-22 09:26:47
True,2.074802252137737,0.2032,2025-08-22 09:26:47
True,2.0508413603351374,0.2308,2025-08-22 09:28:00
True,2.0554525859796318,0.2056,2025-08-22 09:28:00
True,2.235373776429778,0.1344,2025-08-22 09:28:01
True,2.234276578684521,0.138,2025-08-22 09:28:01
True,2.0500846721564128,0.2228,2025-08-22 09:28:07
True,2.1368679613064807,0.1876,2025-08-22 09:28:07
True,2.1330407645292344,0.1842,2025-08-22 09:28:09
True,2.1396156549453735,0.1722,2025-08-22 09:28:09
True,2.0252104450942605,0.2286,2025-08-22 09:28:17
True,2.1156500623484327,0.2136,2025-08-22 09:28:17
True,2.1051986088418655,0.1984,2025-08-22 09:28:19
True,2.112559456734141,0.2064,2025-08-22 09:28:19
True,2.0152127568129523,0.2172,2025-08-22 09:29:23
True,2.114814829674496,0.2166,2025-08-22 09:29:24
True,2.313237278324783,0.1024,2025-08-22 09:29:25
True,2.314040512036366,0.1102,2025-08-22 09:29:25
True,2.0382141922689545,0.2188,2025-08-22 09:29:31
True,2.0487628514599647,0.2368,2025-08-22 09:29:31
True,2.095702074895239,0.2134,2025-08-22 09:29:32
True,2.1022329512675095,0.2066,2025-08-22 09:29:32
True,2.197941878798661,0.1674,2025-08-22 09:29:39
True,2.0924251793296476,0.1944,2025-08-22 09:29:39
True,2.1427102362274364,0.1732,2025-08-22 09:29:40
True,2.1411166790943996,0.1656,2025-08-22 09:29:41
True,2.3148077961745535,0.1778,2025-08-22 09:33:33
True,2.043042690131315,0.2154,2025-08-22 09:33:33
True,2.1898589802395767,0.1344,2025-08-22 09:33:34
True,2.189945233095983,0.134,2025-08-22 09:33:34
True,2.098318976201829,0.17,2025-08-22 09:33:40
True,2.0510968258426447,0.208,2025-08-22 09:33:40
True,2.017561079590184,0.212,2025-08-22 09:33:41
True,2.0050278112387203,0.2026,2025-08-22 09:33:41
True,2.0712995157120333,0.2126,2025-08-22 09:33:48
True,2.0315780381488193,0.221,2025-08-22 09:33:48
True,2.0325018167495728,0.2204,2025-08-22 09:33:50
True,2.049135647761594,0.1964,2025-08-22 09:33:50
True,2.1850781038308598,0.1934,2025-08-22 09:38:42
True,2.1388988267084597,0.1856,2025-08-22 09:38:42
True,2.2750467175890687,0.1042,2025-08-22 09:38:43
True,2.270700460786273,0.1072,2025-08-22 09:38:43
True,2.055415953040882,0.2034,2025-08-22 09:41:12
True,1.9851434769903777,0.2376,2025-08-22 09:41:13
True,2.2506294599763907,0.1148,2025-08-22 09:41:14
