Client_Id;Validation loss;Validation Accuracy;Validation Precision;Validation Recall;Validation F1 score;Number of Val Examples(Btach);Training stop round;Number of Training Examples
0;2.5092;24.73;0.0707;0.1021;0.07;279;;111808
1;2.1562;40.07;0.1128;0.1284;0.1;277;;111152
2;2.0098;54.93;0.2241;0.2217;0.21;355;;142601
3;1.7336;62.74;0.2018;0.1884;0.17;416;;166890
4;2.2552;50.31;0.1754;0.1928;0.16;318;;127685
5;2.5488;33.18;0.0563;0.125;0.07;214;;86049
6;2.2643;29.6;0.092;0.1056;0.07;250;;100161
7;2.0853;45.96;0.2215;0.164;0.14;285;;114141
8;2.4221;38.55;0.2528;0.2014;0.19;249;;99817
9;2.6446;25.46;0.2049;0.131;0.11;216;;86656
10;2.0094;45.76;0.1381;0.2396;0.15;295;;118300
11;2.5002;34.68;0.2337;0.2017;0.18;222;;88895
12;2.1877;51.84;0.1794;0.1597;0.13;326;;130823
13;1.5681;63.22;0.1832;0.1805;0.16;397;;159150
14;1.954;52.66;0.1701;0.1466;0.12;319;;128066
15;2.2648;41.54;0.2172;0.1869;0.16;260;;104136
16;1.9229;56.86;0.1223;0.1807;0.14;350;;140418
17;2.1043;50.97;0.1799;0.1795;0.16;308;;123667
18;2.2554;34.08;0.1082;0.1316;0.11;223;;89654
19;1.8817;54.63;0.1844;0.152;0.13;335;;134223
20;2.1349;44.11;0.1218;0.1428;0.13;263;;105299
21;2.3579;31.43;0.1648;0.1221;0.11;210;;84375
22;2.7183;18.95;0.1415;0.117;0.09;190;;76337
23;2.1348;45.88;0.1789;0.1859;0.16;255;;102259
