Client_Id;Validation loss;Validation Accuracy;Validation Precision;Validation Recall;Validation F1 score;Number of Val Examples(Btach);Training stop round;Number of Training Examples
0;2.2156;35.84;0.2715;0.2149;0.19;279;;111808
1;1.9303;43.68;0.2412;0.2071;0.18;277;;111152
2;1.8042;57.75;0.3655;0.2765;0.27;355;;142601
3;1.5107;63.46;0.3161;0.2691;0.26;416;;166890
4;2.1182;50.63;0.3445;0.2593;0.23;318;;127685
5;2.3416;41.59;0.2053;0.2534;0.2;214;;86049
6;1.9931;43.2;0.2509;0.2924;0.25;250;;100161
7;1.8294;48.77;0.3223;0.2589;0.23;285;;114141
8;2.1432;46.99;0.3559;0.3459;0.31;249;;99817
9;2.4291;36.11;0.336;0.2652;0.26;216;;86656
10;1.8936;46.44;0.2828;0.353;0.26;295;;118300
11;2.2207;41.89;0.2798;0.3177;0.28;222;;88895
12;1.9668;53.07;0.3255;0.3041;0.25;326;;130823
13;1.3458;68.01;0.3565;0.2891;0.28;397;;159150
14;1.7281;56.43;0.2858;0.2624;0.25;319;;128066
15;2.0096;50.0;0.3005;0.3344;0.28;260;;104136
16;1.6698;61.14;0.3909;0.2941;0.29;350;;140418
17;1.8732;53.25;0.2764;0.2623;0.25;308;;123667
18;1.9709;43.05;0.328;0.2513;0.24;223;;89654
19;1.6516;59.1;0.2916;0.2865;0.25;335;;134223
20;1.9175;48.67;0.2418;0.2204;0.2;263;;105299
21;2.0429;47.14;0.3846;0.3336;0.33;210;;84375
22;2.3918;34.74;0.3199;0.2923;0.27;190;;76337
23;1.8516;52.55;0.3361;0.2932;0.27;255;;102259
