Client_Id;Validation loss;Validation Accuracy;Validation Precision;Validation Recall;Validation F1 score;Number of Val Examples(Btach);Training stop round;Number of Training Examples
0;2.6878;19.35;0.0102;0.0526;0.02;279;;111808
1;2.3522;35.02;0.0184;0.0526;0.03;277;;111152
2;2.1151;45.63;0.0254;0.0556;0.03;355;;142601
3;1.9315;55.29;0.0291;0.0526;0.04;416;;166890
4;2.2644;45.6;0.024;0.0526;0.03;318;;127685
5;2.6329;28.04;0.0148;0.0526;0.02;214;;86049
6;2.5179;26.0;0.0137;0.0526;0.02;250;;100161
7;2.2626;39.3;0.0207;0.0526;0.03;285;;114141
8;2.5878;27.31;0.0144;0.0526;0.02;249;;99817
9;2.7848;18.98;0.01;0.0526;0.02;216;;86656
10;2.0818;61.69;0.0475;0.0769;0.06;295;;118300
11;2.6583;23.87;0.0126;0.0526;0.02;222;;88895
12;2.3138;46.32;0.0244;0.0526;0.03;326;;130823
13;1.761;57.68;0.0304;0.0526;0.04;397;;159150
14;2.1169;48.28;0.0254;0.0526;0.03;319;;128066
15;2.4478;32.31;0.017;0.0526;0.03;260;;104136
16;2.0799;51.43;0.0271;0.0526;0.04;350;;140418
17;2.298;43.18;0.0227;0.0526;0.03;308;;123667
18;2.4924;27.8;0.0146;0.0526;0.02;223;;89654
19;2.041;49.85;0.0262;0.0526;0.04;335;;134223
20;2.2763;38.4;0.0202;0.0526;0.03;263;;105299
21;2.5678;26.19;0.0138;0.0526;0.02;210;;84375
22;2.9082;13.16;0.0069;0.0526;0.01;190;;76337
23;2.3752;37.25;0.0196;0.0526;0.03;255;;102259
