Client_Id;Validation loss;Validation Accuracy;Validation Precision;Validation Recall;Validation F1 score;Number of Val Examples(Btach);Training stop round;Number of Training Examples
0;2.6099;20.43;0.0544;0.063;0.03;279;;111808
1;2.2658;38.27;0.1275;0.1009;0.09;277;;111152
2;2.0873;50.99;0.1752;0.168;0.16;355;;142601
3;1.864;60.1;0.1109;0.1249;0.11;416;;166890
4;2.2919;46.86;0.1233;0.1212;0.1;318;;127685
5;2.6184;30.37;0.0435;0.0855;0.05;214;;86049
6;2.3902;27.6;0.0381;0.0737;0.05;250;;100161
7;2.1987;42.11;0.1092;0.1001;0.08;285;;114141
8;2.5255;28.92;0.0676;0.0737;0.05;249;;99817
9;2.7063;19.44;0.0627;0.0579;0.03;216;;86656
10;2.1068;46.44;0.0607;0.1253;0.08;295;;118300
11;2.6036;30.18;0.1013;0.136;0.11;222;;88895
12;2.2762;49.69;0.0865;0.1184;0.09;326;;130823
13;1.6889;61.71;0.1336;0.1415;0.13;397;;159150
14;2.0744;51.41;0.1282;0.117;0.1;319;;128066
15;2.3773;38.46;0.0946;0.1417;0.11;260;;104136
16;2.0361;54.0;0.0962;0.1184;0.1;350;;140418
17;2.2174;45.13;0.0738;0.0842;0.07;308;;123667
18;2.3787;28.25;0.0284;0.0579;0.03;223;;89654
19;2.0021;51.64;0.0774;0.0953;0.08;335;;134223
20;2.2381;39.54;0.0737;0.0724;0.06;263;;105299
21;2.4724;27.62;0.0671;0.0724;0.05;210;;84375
22;2.8206;16.32;0.0599;0.0877;0.05;190;;76337
23;2.2798;41.96;0.0909;0.1293;0.1;255;;102259
