round,samples_analyzed,Accuracy,test_data_acc,test_data_loss,avg_prov_time_per_input,top_contributor,client_0_contribution,client_1_contribution,client_2_contribution,client_3_contribution
1,10,1.0,0.171875,2.6569227017462254,0.02194511890411377,0,0.9998680315528479,2.8882601017279645e-05,7.979640091230876e-05,2.3289445222591054e-05
2,10,1.0,0.9033203125,0.42642520018853247,0.021391868591308594,0,0.9945683403608575,8.763397702425728e-05,0.005123637797230767,0.00022038786488747265
3,10,1.0,0.640625,0.8364786938764155,0.016752457618713378,0,0.9999115228556524,9.206760049185221e-06,4.542606252942495e-05,3.384432176905651e-05
